generation,genome,fitness
0,0.709691,0.0582522
0,0.636489,-0.393319
0,0.33132,0.413082
0,0.366752,0.0421568
0,0.0451109,-0.205546
0,0.483699,-0.816996
0,0.649678,-0.307284
0,0.0662365,0.136301
0,0.571397,-0.753194
0,0.243006,1.14313
0,0.352972,0.186019
0,0.104087,0.659637
0,0.900426,-0.0105302
0,0.134319,0.970101
0,0.458435,-0.713764
0,0.271804,0.96314
0,0.506883,-0.862451
0,0.248315,1.11575
0,0.0118209,-0.78749
0,0.316783,0.561616
0,0.886175,0.0584319
0,0.506198,-0.861789
0,0.939175,-0.208058
0,0.888539,0.0473143
0,0.541912,-0.843117
0,0.431416,-0.545111
0,0.812994,0.286992
0,0.00515127,-0.907292
0,0.00503506,-0.909382
0,0.468082,-0.759671
0,0.397882,-0.265497
0,0.999175,-0.452259
0,0.403919,-0.320623
0,0.34135,0.308253
0,0.0724299,0.230615
0,0.503488,-0.858762
0,0.793331,0.296387
0,0.0390088,-0.309109
0,0.336529,0.358791
0,0.321966,0.509288
0,0.257191,1.06387
0,0.608732,-0.565639
0,0.141861,1.03047
0,0.793376,0.296394
0,0.595662,-0.638739
0,0.40877,-0.363547
0,0.961836,-0.316076
0,0.92176,-0.119237
0,0.169593,1.19007
0,0.425828,-0.503423
1,0.403919,-0.320623
1,0.316783,0.561616
1,0.886175,0.0584319
1,0.793331,0.296387
1,0.649678,-0.307284
1,-0.550593,-0.881375
1,-0.058523,-2.01142
1,0.271804,0.96314
1,0.257191,1.06387
1,0.134319,0.970101
1,0.0662365,0.136301
1,0.104087,0.659637
1,0.243006,1.14313
1,0.336529,0.358791
1,0.34135,0.308253
1,0.939175,-0.208058
1,1.01738,-0.49019
1,0.134319,0.970101
1,0.403919,-0.320623
1,0.793331,0.296387
1,0.352972,0.186019
1,0.257191,1.06387
1,0.104087,0.659637
1,0.169593,1.19007
1,0.0724299,0.230615
1,0.243006,1.14313
1,0.997171,-0.446786
1,0.336529,0.358791
1,0.793331,0.296387
1,0.336529,0.358791
1,0.336529,0.358791
